K,d_min,Z_DR,FPR,F1
2,0.5,1.0,1.0,0.0
2,1.0,0.9955,0.9989,0.0021
2,1.5,0.6868,0.9981,0.0038
2,2.0,0.3464,0.9976,0.0047
2,2.5,0.2868,0.7634,0.2592
2,3.0,0.2823,0.6478,0.3134
2,4.0,0.2666,0.456,0.3578
2,5.0,0.2645,0.2671,0.3887
3,0.5,0.8899,0.9998,0.0005
3,1.0,0.651,0.9985,0.0031
3,1.5,0.4,0.9975,0.005
3,2.0,0.334,0.7655,0.2756
3,2.5,0.3232,0.7651,0.272
3,3.0,0.2823,0.6508,0.3122
3,4.0,0.2653,0.2907,0.3862
3,5.0,0.2637,0.2571,0.3893
5,0.5,0.7991,0.9988,0.0024
5,1.0,0.2928,0.9954,0.0091
5,1.5,0.2714,0.7611,0.2542
5,2.0,0.2673,0.7353,0.266
5,2.5,0.2671,0.4291,0.3639
5,3.0,0.2537,0.2721,0.3762
5,4.0,0.251,0.2015,0.382
5,5.0,0.251,0.1966,0.3825
7,0.5,0.9725,0.999,0.0019
7,1.0,0.9415,0.9927,0.0144
7,1.5,0.2653,0.9825,0.0328
7,2.0,0.2617,0.4602,0.3525
7,2.5,0.2538,0.3113,0.371
7,3.0,0.2519,0.2432,0.378
7,4.0,0.2509,0.1974,0.3823
7,5.0,0.2507,0.1964,0.3822
9,0.5,0.9745,0.9986,0.0029
9,1.0,0.654,0.9346,0.1189
9,1.5,0.2869,0.686,0.2998
9,2.0,0.2663,0.6598,0.2988
9,2.5,0.2497,0.3563,0.3599
9,3.0,0.2363,0.1842,0.3665
9,4.0,0.0061,0.1238,0.0121
9,5.0,0.0061,0.1186,0.012
