K,d_min,Z_DR,FPR,F1
2,0.5,1.0,1.0,0.0
2,1.0,0.8206,0.9994,0.0012
2,1.5,0.8166,0.9979,0.0043
2,2.0,0.0938,0.9762,0.0379
2,2.5,0.0637,0.4459,0.1143
2,3.0,0.0632,0.3108,0.1158
2,4.0,0.0629,0.1254,0.1174
2,5.0,0.0629,0.1194,0.1174
3,0.5,0.9501,0.9995,0.001
3,1.0,0.8174,0.9956,0.0088
3,1.5,0.1869,0.9932,0.0131
3,2.0,0.0818,0.9339,0.0731
3,2.5,0.0637,0.4353,0.1145
3,3.0,0.0632,0.2895,0.116
3,4.0,0.0629,0.1252,0.1174
3,5.0,0.0629,0.1194,0.1174
5,0.5,1.0,0.9838,0.0318
5,1.0,0.8174,0.9713,0.0554
5,1.5,0.1697,0.9697,0.0515
5,2.0,0.1084,0.9125,0.0969
5,2.5,0.0637,0.4368,0.1145
5,3.0,0.0632,0.2657,0.1164
5,4.0,0.0629,0.0847,0.1177
5,5.0,0.0629,0.0786,0.1178
7,0.5,0.9984,0.9989,0.0021
7,1.0,0.3965,0.9952,0.0094
7,1.5,0.0766,0.8902,0.0902
7,2.0,0.0757,0.7203,0.1191
7,2.5,0.0632,0.2172,0.1169
7,3.0,0.0629,0.1694,0.117
7,4.0,0.0629,0.1211,0.1174
7,5.0,0.0629,0.1194,0.1174
9,0.5,0.7822,0.999,0.0019
9,1.0,0.1411,0.9944,0.0108
9,1.5,0.0766,0.7578,0.1164
9,2.0,0.0742,0.7357,0.1158
9,2.5,0.063,0.3223,0.1154
9,3.0,0.0629,0.2538,0.116
9,4.0,0.0628,0.1174,0.1173
9,5.0,0.0005,0.1075,0.0011
